capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,external_id,has_kiosk,lat,lon,name,region_id,short_name,station_id,station_type
12,false,false,5f19b359-6bc4-45f6-bdcf-31352690e6ee,true,38.878085,-77.153953,N Roosevelt St & Roosevelt Blvd,152,32606,5f19b359-6bc4-45f6-bdcf-31352690e6ee,classic
12,false,false,0824fb6c-1f3f-11e7-bf6b-3863bb334450,true,38.8904,-77.0889,Wilson Blvd & N Franklin Rd,41,31020,0824fb6c-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,082655cc-1f3f-11e7-bf6b-3863bb334450,true,38.905509,-77.065246,Potomac & M St NW,42,31295,082655cc-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,68bb0313-ccdb-4930-98ba-96d77ec986ef,true,39.049765,-77.11368,Rockville Pike & Old Georgetown Rd,43,32077,68bb0313-ccdb-4930-98ba-96d77ec986ef,classic
11,false,false,0826359a-1f3f-11e7-bf6b-3863bb334450,true,38.919475,-77.221179,Tysons Metro South,104,32203,0826359a-1f3f-11e7-bf6b-3863bb334450,classic
11,false,false,b0cdb0b4-a4e5-47f2-90fd-f3f8266b809f,true,38.820152,-77.093879,Virginia Theological Seminary,40,31964,b0cdb0b4-a4e5-47f2-90fd-f3f8266b809f,classic
15,false,false,5d8d5182-ea42-49ec-8cae-8891759f5751,true,38.872976,-76.935246,Ridge Rd & Southern Ave SE,42,31723,5d8d5182-ea42-49ec-8cae-8891759f5751,classic
15,false,false,082515d4-1f3f-11e7-bf6b-3863bb334450,true,38.915417,-77.012289,1st & Rhode Island Ave NW,42,31506,082515d4-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,0825bf2b-1f3f-11e7-bf6b-3863bb334450,true,38.873219,-77.082104,Washington Blvd & Walter Reed Dr ,41,31073,0825bf2b-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,fc64c842-980f-40be-a4b6-7750a28ecc19,true,38.7968,-77.0026,Tanger Outlets,133,32415,fc64c842-980f-40be-a4b6-7750a28ecc19,classic
12,false,false,79f2ceeb-df84-42dd-bf22-ceb9bc384af2,true,38.8663609,-77.1997883,Arlington Blvd & Allen St,104,32268,79f2ceeb-df84-42dd-bf22-ceb9bc384af2,classic
19,false,false,08265563-1f3f-11e7-bf6b-3863bb334450,true,39.121327,-77.164969,Shady Grove Metro East,43,32067,08265563-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,0825b983-1f3f-11e7-bf6b-3863bb334450,true,38.90733256111448,-77.01536044478416,New Jersey Ave & N St NW/Dunbar HS,42,31636,0825b983-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,08249407-1f3f-11e7-bf6b-3863bb334450,true,38.8851,-77.0023,3rd & D St SE,42,31605,08249407-1f3f-11e7-bf6b-3863bb334450,classic
12,false,false,1875304680551764838,true,38.849411,-77.304435,University Dr & Democracy Ln,,32280,1875304680551764838,classic
19,false,false,08263311-1f3f-11e7-bf6b-3863bb334450,true,38.91263,-76.971923,24th & R St NE / National Arboretum,42,31520,08263311-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,c778c501-ba47-479b-b652-831432ffd74f,true,38.824481,-77.005497,1st & S Capitol St SE / Oxon Run Trail,42,31817,c778c501-ba47-479b-b652-831432ffd74f,classic
27,false,false,082612c1-1f3f-11e7-bf6b-3863bb334450,true,38.8962260397813,-76.99278563261032,Maryland Ave & E St NE,42,31640,082612c1-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,0826168f-1f3f-11e7-bf6b-3863bb334450,true,38.999378,-77.097882,Medical Center Metro ,44,32053,0826168f-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,068e6359-1741-4240-9ed1-07a9038bc319,true,38.936213,-76.960054,Perry & 35th St,133,32404,068e6359-1741-4240-9ed1-07a9038bc319,classic
15,false,false,082521d3-1f3f-11e7-bf6b-3863bb334450,true,38.884734,-77.093485,Washington Blvd & 10th St N,41,31026,082521d3-1f3f-11e7-bf6b-3863bb334450,classic
12,false,false,1873077316413198460,true,38.850932,-77.302732,Layton Hall Dr & University Dr,,32277,1873077316413198460,classic
23,false,false,08261d35-1f3f-11e7-bf6b-3863bb334450,true,38.90843146089006,-77.02708840370178,11th & O St NW,42,31286,08261d35-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,0825e27a-1f3f-11e7-bf6b-3863bb334450,true,38.952369,-77.002721,Fort Totten Metro,42,31515,0825e27a-1f3f-11e7-bf6b-3863bb334450,classic
12,false,false,1cc6ee60-b82f-4264-a490-6c3e5e656ccd,true,38.857049,-77.116339,8th Rd & S Frederick St,41,31951,1cc6ee60-b82f-4264-a490-6c3e5e656ccd,classic
31,false,false,0824749f-1f3f-11e7-bf6b-3863bb334450,true,38.9177645,-77.032096,14th & V St NW,42,31101,0824749f-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,08256b90-1f3f-11e7-bf6b-3863bb334450,true,38.918155,-77.004746,Rhode Island Ave & V St NE,42,31513,08256b90-1f3f-11e7-bf6b-3863bb334450,classic
23,false,false,0824bc00-1f3f-11e7-bf6b-3863bb334450,true,38.910972,-77.00495,Eckington Pl & Q St NE,42,31505,0824bc00-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,0825b10b-1f3f-11e7-bf6b-3863bb334450,true,38.975,-77.01121,Carroll & Westmoreland Ave,44,32025,0825b10b-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,72b359a7-f70e-4b97-aaf6-2b26f09f19b1,true,38.84377,-76.97557,Mississippi Ave & 19th St SE / THEARC,42,31814,72b359a7-f70e-4b97-aaf6-2b26f09f19b1,classic
15,false,false,082619e1-1f3f-11e7-bf6b-3863bb334450,true,38.908643,-77.012365,1st & O St NW,42,31519,082619e1-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,0825f9b6-1f3f-11e7-bf6b-3863bb334450,true,38.820932,-77.053096,Monroe Ave & Leslie Ave,40,31087,0825f9b6-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,0824a53f-1f3f-11e7-bf6b-3863bb334450,true,38.927872,-77.043358,Harvard St & Adams Mill Rd NW,42,31112,0824a53f-1f3f-11e7-bf6b-3863bb334450,classic
12,false,false,1936548863063266016,true,38.883843,-76.957511,34th St & Minnesota Ave SE,,31726,1936548863063266016,classic
15,false,false,5e229707-ae42-42f7-b31d-1a65af253027,true,38.818509,-77.105564,N Howard St & N Imboden St,40,31952,5e229707-ae42-42f7-b31d-1a65af253027,classic
19,false,false,8083cb0d-c3a4-417e-b46e-afe6cf1a7e67,true,38.836,-77.0009,4th St & Mississippi Ave SE,42,31816,8083cb0d-c3a4-417e-b46e-afe6cf1a7e67,classic
23,false,false,ac598bfa-89c4-4229-a397-a6279b4cd536,true,39.0778751,-76.9418666,Briggs Chaney Park & Ride,44,32088,ac598bfa-89c4-4229-a397-a6279b4cd536,classic
11,false,false,0824821f-1f3f-11e7-bf6b-3863bb334450,true,38.867373,-76.988039,MLK & Marion Barry Ave SE,42,31802,0824821f-1f3f-11e7-bf6b-3863bb334450,classic
17,false,false,08246c35-1f3f-11e7-bf6b-3863bb334450,true,38.856425,-77.049232,Crystal Dr & 20th St S,41,31002,08246c35-1f3f-11e7-bf6b-3863bb334450,classic
